run,accuracy,macro_f1,quadratic_kappa,macro_auc,note
abl_unfrozen_aug,0.6759901543969569,0.6554908425639372,0.8116853465199282,0.9257243651578636,
vit_b16_ft,0.671850525844708,0.6483722009825265,0.808468356197879,0.9253265860583042,
abl_unfrozen_noaug,0.6456701722980532,0.6226557433900385,0.799166678072593,0.9155739484436398,
vgg16_ft,0.6160214813157305,0.5842349264284372,0.7813349786317518,0.9026010326427433,"trained 8 epochs, stopped manually for time budget"
effb0_ft,0.5895054822107854,0.5493392989983227,0.7465471945279865,0.8932002441375296,
abl_frozen_noaug,0.5014544640859253,0.49415018490166257,0.6670040124964758,0.8489141328341961,
abl_frozen_aug,0.46945625419556947,0.4715785021275491,0.6395138622746077,0.8463052049876181,
vgg16_frozen,0.45416806911253227,0.415561634141224,0.6368116548100001,0.8001114487206262,
majority_class,0.36979692583866264,0.08998826002675621,0.0,,
