run,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,quadratic_kappa,macro_auc
vit_b16_ft,0.671850525844708,0.6483722009825265,0.6714299063697348,0.6328339901983162,0.673890432218493,0.808468356197879,0.9253265860583042
vgg16_ft,0.6160214813157305,0.5842349264284372,0.611970449141383,0.5765624076261199,0.6042648981586608,0.7813349786317518,0.9026010326427433
effb0_ft,0.5895054822107854,0.5493392989983227,0.586668877384202,0.5360601087117595,0.583421318895923,0.7465471945279865,0.8932002441375296
vgg16_frozen,0.45416806911253227,0.415561634141224,0.44867533753420613,0.4218735312997777,0.4250675950810081,0.6368116548100001,0.8001114487206262
majority_class,0.36979692583866264,0.08998826002675621,0.19966429151678794,,,0.0,
