run,augmentation,backbone,accuracy,macro_f1,quadratic_kappa,macro_auc
abl_frozen_noaug,off,frozen,0.5014544640859253,0.49415018490166257,0.6670040124964758,0.8489141328341961
abl_frozen_aug,on,frozen,0.46945625419556947,0.4715785021275491,0.6395138622746077,0.8463052049876181
abl_unfrozen_noaug,off,fine-tuned,0.6456701722980532,0.6226557433900385,0.799166678072593,0.9155739484436398
abl_unfrozen_aug,on,fine-tuned,0.6759901543969569,0.6554908425639372,0.8116853465199282,0.9257243651578636
